nl,code
define the method i with an argument self.,def i ( self ) :
"if out has an 'isatty' argument and return value of the function out.isatty is true,","if hasattr ( out , 'isatty' ) and out . isatty ( ) :"
"if ValueError exception is caught,",except ValueError :
"raise an ValueError exception with an argument string ""Base36 conversion input too large."".","raise ValueError ( ""Base36 conversion input too large."" )"
return is empty dictionary.,return { }
"get the value under the key 'database' of the options dictionary, use it as a index to get an element from connections, substitute it for connection.",connection = connections [ options [ 'database' ] ]
"if out_log is true,",if out_log :
substitute model._meta.app_label for app.,app = model . _meta . app_label
define the method __nonzero__ with an argument self.,def __nonzero__ ( self ) :
from django.db.migrations.loader import MigrationLoader into default name space.,from django . db . migrations . loader import MigrationLoader
"call the method gettext_module.find with 3 arguments: string 'django', path and list with an element: result of the function,","if gettext_module . find ( 'django' , path , [ to_locale ( lang_code ) ] ) is not None :"
from django.conf import settings into default name space.,from django . conf import settings
define the method as_bytes with arguments self and unixfrom set to boolean False.,"def as_bytes ( self , unixfrom = False ) :"
"define the method add with 5 arguments, self class instance, key, value, timeout set to DEFAULT_TIMEOUT and version set to None.","def add ( self , key , value , timeout = DEFAULT_TIMEOUT , version = None ) :"
"HITS and MISSES are integer 0 and 1, respectively.","HITS , MISSES = 0 , 1"
"if key if contained in value under the DEFAULT_CACHE_ALIAS key of caches dictionary, return boolean True, otherwise return False.",return key in caches [ DEFAULT_CACHE_ALIAS ]
substitute asvar for self.asvar.,self . asvar = asvar
"raise an TypeError with an argument string ""update expected at most 1 arguments, got %d"" formated with length of args.","raise TypeError ( ""update expected at most 1 arguments, got %d"" % len ( args ) )"
define the method getlist with 2 arguments: self and key.,"def getlist ( self , key ) :"
"call the function _add_doc with 2 arguments: reraise and string """"""Reraise an exception."""""".","_add_doc ( reraise , """"""Reraise an exception."""""" )"
if encoding does not exists substitute it for settings.DEFAULT_CHARSET.,encoding = encoding or settings . DEFAULT_CHARSET
"call the method form.add_initial_prefix with an argument self.auto_id, substitute the result for self.html_initial_id.",self . html_initial_id = form . add_initial_prefix ( self . auto_id )
define the method start_serialization with an argument self.,def start_serialization ( self ) :
"if result is not None,",if result is not None :
convert host to lowercase.,host = host . lower ( )
"for every var in self.vars,",for var in self . vars :
call the method parser.skip_past with an argument string 'endcomment'.,parser . skip_past ( 'endcomment' )
call the method parser.delete_first_token.,parser . delete_first_token ( )
"if model_identifier is false,",if not model_identifier :
"get the type of form object, return an instance of resulting class created with 3 arguments: class_name, tuple with an element form,","return type ( form ) ( class_name , ( form , ) , form_class_attrs )"
"__all__ is a list containing next strings, 'CheckMessage', 'Debug', 'Info', 'Warning', 'Error', 'Critical',","__all__ = [ 'CheckMessage' , 'Debug' , 'Info' , 'Warning' , 'Error' , 'Critical' , 'DEBUG' , 'INFO' , 'WARNING' , 'ERROR' , 'CRITICAL' , 'register' , 'run_checks' , 'tag_exists' , 'Tags' , ]"
substitute params for self.params.,self . params = params
"' ' for 's', 'x' for 'S', 'x' for 'W', '!' for 'W' and None for 'Z'. derive the class Choice from list base class.",class Choice ( list ) :
return boolean False.,return False
return boolean True.,return True
return the result. define the method id_for_label with 2 arguments: self and id_.,"def id_for_label ( self , id_ ) :"
"call the method parser.add_argument with 4 arguments: string 'args', metavar set to string 'fixture', nargs set to '+',","parser . add_argument ( 'args' , metavar = 'fixture' , nargs = '+' , help = 'Fixture labels.' )"
call the method self.setFeature with 2 arguments: handler.feature_external_pes and boolean False.,"self . setFeature ( handler . feature_external_pes , False )"
from django.utils.safestring import mark_safe into default name space.,from django . utils . safestring import mark_safe
"if not,",else :
"call the function warnings.warn with 2 arguments: string '""requires_model_validation"" is deprecated '","warnings . warn ( '""requires_model_validation"" is deprecated ' 'in favor of ""requires_system_checks"".' , RemovedInDjango19Warning )"
return nothing.,return
"if NotImplementedError exception is caught,",except NotImplementedError :
"if current_len is smaller than or equal to length,",if current_len <= length :
"otherwise if msg and visible_issue_count are true,",elif msg and visible_issue_count :
append value to self.dicts list.,self . dicts . append ( value )
"if confirm equals string 'yes',",if confirm == 'yes' :
"if kwarg_format is true,",if kwarg_format :
"format string normal_row with an dictionary containing 6 entries: return value of the function force_text with an argument bf_errors,","output . append ( normal_row % { 'errors' : force_text ( bf_errors ) , 'label' : force_text ( label ) , 'field' : six . text_type ( bf ) , 'help_text' : help_text , 'html_class_attr' : html_class_attr , 'field_name' : bf . html_name , } )"
"if self.activated is boolean False,",if not self . activated :
do nothing.,pass
content_length is None.,content_length = None
define the method __init__ with 2 arguments: self and token.,"def __init__ ( self , tokens ) :"
"split locale by '_', append the first element of the result to locales.",locales . append ( locale . split ( '_' ) [ 0 ] )
substitute var for self.var.,self . var = var
define the method __iter__ with an argument self.,def __iter__ ( self ) :
""" * The database isn't running or isn't configured correctly.\n * At least one of the expected database tables doesn't exist.\n"" "" * The SQL was invalid.\nHint: Look at the output of 'django-admin.py sqlflush'. That's the SQL this command wasn't able to run.\n"" ""The full error: %s"", where '%s' is replaced by value under the 'NAME' key of the connection.settings_dict dictionary and e. call the function six.reraise with 3 arguments: CommandError, CommandError created with argument new_msg,","six . reraise ( CommandError , CommandError ( new_msg ) , sys . exc_info ( ) [ 2 ] )"
"return the result. if UnicodeDecodeError exception is caught,",except UnicodeDecodeError :
"if value under the 'primary_key' key of the dictionary contained under the column_name key of the dictionary indexes is true,",if indexes [ column_name ] [ 'primary_key' ] :
"define the function build_request_repr with arguments: request, path_override set to None, GET_override set to None,","def build_request_repr ( request , path_override = None , GET_override = None , POST_override = None , COOKIES_override = None , META_override = None ) :"
"evaluate the method type(self).__bool__ with argument self, return the result.",return type ( self ) . __bool__ ( self )
"call the form.is_valid method, if it evaluates to false,",if not form . is_valid ( ) :
import module sys.,import sys
"increment s_len by integer 1,",s_len += 1
call the function get_urlconf with an argument urlconf.,urlconf = get_urlconf ( )
from email.mime.message import MIMEMessage into default name space.,from email . mime . message import MIMEMessage
"return a string '<%s: %r>', format it with __name__ field of the self class and repr_attr.","return '<%s: %r>' % ( type ( self ) . __name__ , repr_attr )"
"if not,",else :
"default set to DEFAULT_DB_ALIAS and help as a string 'Nominates a specific database to load fixtures into. Defaults to the ""default"" database.' call the method parser.add_argument with 5 arguments: string '--app', action as a string 'store', dest as a string 'app_label',","parser . add_argument ( '--app' , action = 'store' , dest = 'app_label' , default = None , help = 'Only look for fixtures in the specified app.' )"
"__version__ is a string ""1.6.1"".","__version__ = ""1.6.1"""
"call the method render from the base class of the class FileInput, called with 3 arguments: name, None and attrs as attrs.","return super ( FileInput , self ) . render ( name , None , attrs = attrs )"
"convert priority into a floating point integer, substitute it for priority.",priority = float ( priority )
define the function resolve with arguments path and urlconf set to None.,"def resolve ( path , urlconf = None ) :"
derive the class File from the FileProxyMixin base class.,class File ( FileProxyMixin ) :
"if not,",else :
"__author__ is a string ""Benjamin Peterson <benjamin@python.org>"".","__author__ = ""Benjamin Peterson <benjamin@python.org>"""
call the method __init__ with an argument name form the base class of the class MovedAttribute.,"super ( MovedAttribute , self ) . __init__ ( name )"
"if use_natural_keys is true,",if use_natural_keys :
define the method to_python with arguments self and value.,"def to_python ( self , value ) :"
"if not,",else :
define the method __repr__ with an argument self.,def __repr__ ( self ) :
import module warnings.,import warnings
import module threading.,import threading
"return an empty string,",return ''
"if attrs is None,",if attrs is None :
return an empty string.,return ''
